"Digital Green
Participant For PROOFs Video Engagement
VIllage List                   ",,,,
SL,Village,Block,District,State
1,Pokkhifanda,Rajendropur,Sadar,Rangpur
2,Bokshipara,Rajendropur,Sadar,Rangpur
3,Jogodishpur,Rajendropur,Sadar,Rangpur
4,Gilabari,Rajendropur,Sadar,Rangpur
5,Tokeya keshabpur,Payrabon,Mithapukur,Rangpur
6,Joyrampur Purbopara,Payrabon,Mithapukur,Rangpur
7,Koyalipara,Payrabon,Mithapukur,Rangpur
8,Sonnasipara,Payrabon,Mithapukur,Rangpur
9,Paikpara ,Shahidbag,Kaunia,Rangpur
10,Shohidbag,Shahidbag,Kaunia,Rangpur
11,Khoddovutchara,Shahidbag,Kaunia,Rangpur
12,Paikpara ,Shahidbag,Kaunia,Rangpur
13,Shahabazpur Rosunpara,Chondonpat,Sadar,Rangpur
14,Eashorpur Jolapara,Chondonpat,Sadar,Rangpur
15,Shalmara,Chondonpat,Sadar,Rangpur
16,Eashorpur Kholahati,Chondonpat,Sadar,Rangpur
17,NoyaPara,Haridebpur,Sadar,Rangpur
18,Ponditpara,Haridebpur,Sadar,Rangpur
19,Modhopara,Haridebpur,Sadar,Rangpur
20,Poschimpara,Haridebpur,Sadar,Rangpur
21,Kachna modhopara,Tapodhan,Sadar,Rangpur
22,Kachna Tokitari,Tapodhan,Sadar,Rangpur
23,Shahebgonj,Tapodhan,Sadar,Rangpur
24,Shahebgonj,Tapodhan,Sadar,Rangpur
25,Sonarpara,Borohazratpur,Mithapukur,Rangpur
26,Askorpur dokkhinpara,Borohazratpur,Mithapukur,Rangpur
27,Sodurpur,Borohazratpur,Mithapukur,Rangpur
28,Askorpur poschimpara,Borohazratpur,Mithapukur,Rangpur
29,Horirampur,Kursha,Taragonj,Rangpur
30,Kazipara,Kursha,Taragonj,Rangpur
31,Choupoti Dangapara,Kursha,Taragonj,Rangpur
32,Muriachuhorpar,Kursha,Taragonj,Rangpur
33,Balapara,Satgara,Sadar,Rangpur
34,Foriyatari,Satgara,Sadar,Rangpur
35,Chaulipara,Satgara,Sadar,Rangpur
36,Shingimari,Satgara,Sadar,Rangpur
37,Baniyapara,Alampur,Taragonj,Rangpur
38,Senpara,Alampur,Taragonj,Rangpur
39,Gulupara,Alampur,Taragonj,Rangpur
40,Dhonipara/paykpara,Alampur,Taragonj,Rangpur
