,partner,listGroup
0,PRADAN,ABC
1,PRADAN,Basumati
2,PRADAN,Gopabandhu
3,PRADAN,Maa laxmi 
4,PRADAN,Maa Tarini 
5,PRADAN,Laxmi narayani 
6,PRADAN,Sunamukhi 
7,PRADAN,Janaki
8,PRADAN,Erachin do sakam sundari 
9,PRADAN,Sunasansnasara 
10,PRADAN,Jamuneswari 
11,PRADAN,Jai sree ram 
12,PRADAN,Marang buru 
13,PRADAN,Maa Laxmi
14,PRADAN,Maa Laxmi
15,PRADAN,Jay Maa Santoshi
16,PRADAN,Maa Tarini
17,PRADAN,Sibani
18,PRADAN,Radharani
19,PRADAN,Laxman UKS 
20,PRADAN,Laxmi Mahila Samiti
21,PRADAN,Jyoti Mahila Samiti 
22,PRADAN,Laxmi Mahila Samiti
23,PRADAN,Sakti Roopa UKS
24,PRADAN,Jay Ma Sharda Mahila Samiti
25,PRADAN,Santoshi Mahila Samiti 
26,PRADAN,Maa Narmada UKS 
27,PRADAN,Godawari UKS 
28,PRADAN,Ganga Maiya
29,PRADAN,Dropati Mahila Samiti
30,PRADAN,Narmada Maiya
31,PRADAN,Bharat Mata Mahila Samiti
32,PRADAN,Amar Joyti Mahila Samiti
33,PRADAN,Rani Durgawati Mahila Samiti
34,PRADAN,Saraswati Mahila Samiti
35,PRADAN,Saraswati  mahila Samiti
36,PRADAN,Kairda Mahila Samiti
37,PRADAN,Sarsawati Mahila Samiti
38,PRADAN,Ma Durga Mahila Samiti
39,PRADAN,Ganga Mahila Samiti
40,PRADAN,Ma Narmada Mahila Samiti
41,PRADAN,Radha Maiya Mahila Samiti
42,PRADAN,Ma Sharda Mahila Samiti
43,PRADAN,Laxmi Mahila Samiti
44,PRADAN,Surja mahila Samiti
45,PRADAN,Saraswari Tejaswani Mahila Samiti
46,PRADAN,Seeta Tejsawani
47,PRADAN,Jai Ma Durga USK
48,PRADAN,Narmada Tejsawani Mahila Samiti
49,PRADAN,Rosni Tejsawani Mahila Samiti
50,PRADAN,Durga Tejsawani Mahila Samiti
51,PRADAN,Gramin Vikash Mahila Samiti
52,PRADAN,Sramkosh Mahila Samiti
53,PRADAN,Yamuna Mahila Samiti
54,PRADAN,Narmada Mahila Samiti
55,PRADAN,Santoshi Tejaswani Mahila Samiti
56,PRADAN,Durga Tejaswani Mahila Samiti
57,PRADAN,Thakur Dev Mahila Samiti
58,PRADAN,Narmada Tejaswani Mahila samiti
59,PRADAN,Jyoti Tejaswani Mahila Samiti
60,PRADAN,Laxmi Mata Mahila Samiti
61,PRADAN,Parwati Mahila Samiti
62,PRADAN,Santoshi Mahila Samiti
63,PRADAN,Durga Maiya Mahila Samiti
64,PRADAN,Ma Laxmi Mahila Samiti
65,PRADAN,Ganga Maiya Magila Samiti
66,PRADAN,Vishnodevi Mahila Samiti 
67,PRADAN,Sharda Mahila Samiti
68,PRADAN,Narmada Mahila Samiti
69,PRADAN,Thakurdev Mahila Samiti 
70,PRADAN,Khermai Mahila Samiti
71,PRADAN,Laxmi Mahila Samiti 
72,PRADAN,Ma Saraswati Mahila Samiti 
73,PRADAN,Narmada Tejaswani Mahila Samiti
74,PRADAN,Sharda Tejaswani Mahila Samiti
