,Aggregator,Amount,Crop,Date,Market_Real,Price,Quantity_Real,Av_Rate,Total_Quantity,Deviation,Max_Deviation,STD,D/Av,D/STD,Deviation_Factor,STD/Av,Flag,Compute
0,4806,3640.0,3,2017-11-03,1,13.0,280.0,13.0,4930.0,0.0,0.0,0.0,0.0,,,0.0,1,1
1,4806,1950.0,3,2017-11-03,1,13.0,150.0,13.0,4930.0,0.0,0.0,0.0,0.0,,,0.0,1,1
2,4806,1950.0,3,2017-11-03,1,13.0,150.0,13.0,4930.0,0.0,0.0,0.0,0.0,,,0.0,1,1
3,4806,5200.0,3,2017-11-03,1,13.0,400.0,13.0,4930.0,0.0,0.0,0.0,0.0,,,0.0,1,1
4,4806,7800.0,3,2017-11-03,1,13.0,600.0,13.0,4930.0,0.0,0.0,0.0,0.0,,,0.0,1,1
5,4806,2340.0,3,2017-11-03,1,13.0,180.0,13.0,4930.0,0.0,0.0,0.0,0.0,,,0.0,1,1
6,4806,4420.0,3,2017-11-03,1,13.0,340.0,13.0,4930.0,0.0,0.0,0.0,0.0,,,0.0,1,1
7,4806,5200.0,3,2017-11-03,1,13.0,400.0,13.0,4930.0,0.0,0.0,0.0,0.0,,,0.0,1,1
8,4806,6500.0,3,2017-11-03,1,13.0,500.0,13.0,4930.0,0.0,0.0,0.0,0.0,,,0.0,1,1
9,4806,10140.0,3,2017-11-03,1,13.0,780.0,13.0,4930.0,0.0,0.0,0.0,0.0,,,0.0,1,1
10,4806,8450.0,3,2017-11-03,1,13.0,650.0,13.0,4930.0,0.0,0.0,0.0,0.0,,,0.0,1,1
11,4806,6500.0,3,2017-11-03,1,13.0,500.0,13.0,4930.0,0.0,0.0,0.0,0.0,,,0.0,1,1
12,4130,6240.0,4,2017-11-03,1,20.0,312.0,21.2527928135,4341.5,1.25279281354,14.2527928135,3.65868013322,0.058947208705,0.342416600503,0.0201845028139,0.172150557591,5,1
13,4130,4557.0,4,2017-11-03,1,21.0,217.0,21.2527928135,4341.5,0.252792813544,14.2527928135,3.65868013322,0.0118945691402,0.0690939913682,0.000821843257504,0.172150557591,5,1
14,4130,3100.0,4,2017-11-03,1,20.0,155.0,21.2527928135,4341.5,1.25279281354,14.2527928135,3.65868013322,0.058947208705,0.342416600503,0.0201845028139,0.172150557591,5,1
15,4130,6802.0,4,2017-11-03,1,19.0,358.0,21.2527928135,4341.5,2.25279281354,14.2527928135,3.65868013322,0.10599984827,0.615739209637,0.0652682627953,0.172150557591,5,1
16,4130,6050.0,4,2017-11-03,1,22.0,275.0,21.2527928135,4341.5,0.747207186456,14.2527928135,3.65868013322,0.0351580704245,0.204228617766,0.00718028412613,0.172150557591,5,1
17,4489,5780.0,4,2017-11-03,1,17.0,340.0,21.2527928135,4341.5,4.25279281354,14.2527928135,3.65868013322,0.200105127399,1.16238442791,0.232599084033,0.172150557591,5,1
18,4489,3570.0,4,2017-11-03,1,17.0,210.0,21.2527928135,4341.5,4.25279281354,14.2527928135,3.65868013322,0.200105127399,1.16238442791,0.232599084033,0.172150557591,5,1
19,4489,4680.0,4,2017-11-03,1,18.0,260.0,21.2527928135,4341.5,3.25279281354,14.2527928135,3.65868013322,0.153052487834,0.889061818772,0.136073123202,0.172150557591,5,1
20,4787,1300.0,4,2017-11-03,1,20.0,65.0,21.2527928135,4341.5,1.25279281354,14.2527928135,3.65868013322,0.058947208705,0.342416600503,0.0201845028139,0.172150557591,5,1
21,4787,903.0,4,2017-11-03,1,21.0,43.0,21.2527928135,4341.5,0.252792813544,14.2527928135,3.65868013322,0.0118945691402,0.0690939913682,0.000821843257504,0.172150557591,5,1
22,4787,493.0,4,2017-11-03,1,17.0,29.0,21.2527928135,4341.5,4.25279281354,14.2527928135,3.65868013322,0.200105127399,1.16238442791,0.232599084033,0.172150557591,5,1
23,4787,1035.0,4,2017-11-03,1,15.0,69.0,21.2527928135,4341.5,6.25279281354,14.2527928135,3.65868013322,0.294210406529,1.70902964618,0.502814306971,0.172150557591,5,1
24,4787,1575.0,4,2017-11-03,1,15.0,105.0,21.2527928135,4341.5,6.25279281354,14.2527928135,3.65868013322,0.294210406529,1.70902964618,0.502814306971,0.172150557591,5,1
25,4787,210.0,4,2017-11-03,1,21.0,10.0,21.2527928135,4341.5,0.252792813544,14.2527928135,3.65868013322,0.0118945691402,0.0690939913682,0.000821843257504,0.172150557591,5,1
26,4787,135.0,4,2017-11-03,1,9.0,15.0,21.2527928135,4341.5,12.2527928135,14.2527928135,3.65868013322,0.576526243917,3.34896530098,1.93076638599,0.172150557591,5,1
27,4787,180.0,4,2017-11-03,1,15.0,12.0,21.2527928135,4341.5,6.25279281354,14.2527928135,3.65868013322,0.294210406529,1.70902964618,0.502814306971,0.172150557591,5,1
28,4787,77.0,4,2017-11-03,1,7.0,11.0,21.2527928135,4341.5,14.2527928135,14.2527928135,3.65868013322,0.670631523047,3.89561051925,2.61251921572,0.172150557591,5,1
29,4787,960.0,4,2017-11-03,1,15.0,64.0,21.2527928135,4341.5,6.25279281354,14.2527928135,3.65868013322,0.294210406529,1.70902964618,0.502814306971,0.172150557591,5,1
