Date,Market Real,Crop,Deviation,Av Rate,Total Quantity,std
2016-10-29,3.0,40,1101250.575,37.97,750.0,38.3188478428
2017-03-11,27.0,23,6750000.0,445.0,5000.0,36.7423461417
2017-06-05,30.0,32,65333.3333333,36.1111111111,54.0,34.78327965
2017-06-17,8.0,17,1467363.97778,20.9296296296,1620.0,30.0961830337
2017-08-01,56.0,6,1507750.92157,19.0620915033,1836.0,28.6568508195
2016-11-29,12.0,4,583355.52,18.172,1250.0,21.602879808
2017-06-08,8.0,21,231861.019737,15.8223684211,760.0,17.4665477163
2017-08-09,22.0,2,104286.238806,18.9104477612,469.0,14.9116973593
2017-04-29,22.0,1,11484.7758621,25.3275862069,58.0,14.0717226
2017-03-16,1.0,17,70039.0881612,25.0856423174,397.0,13.2823520877
2017-05-09,22.0,22,39683.9580142,9.03938730853,228.5,13.1784516801
2017-08-07,8.0,16,58564.836272,36.7153652393,397.0,12.1457185574
2017-04-04,3.0,17,67411.2371134,15.5051546392,485.0,11.789497083
2016-09-11,8.0,5,72806.6200873,20.8864628821,572.5,11.2771067
2016-10-11,3.0,4,222665.47941,24.9837315709,1967.0,10.6395746513
2017-06-02,22.0,46,12563.4435484,20.6693548387,124.0,10.065688905
2017-05-29,30.0,32,8689.65517241,24.6551724138,87.0,9.99405292841
2017-08-12,9.0,18,3042.62295082,19.5081967213,30.5,9.98789915523
2016-10-19,3.0,4,237921.011189,41.6800663075,2413.0,9.92973680918
2017-07-08,3.0,9,23962.8669355,9.15725806452,248.0,9.8297743336
2017-06-11,8.0,77,2400.0,88.0,25.0,9.79795897113
2017-08-16,22.0,16,3151.51515152,28.1212121212,33.0,9.7724336343
2016-09-18,8.0,5,25312.5128205,39.2051282051,273.0,9.62911352002
2017-07-25,22.0,41,4576.92307692,17.4615384615,52.0,9.38177762896
2016-10-09,7.0,4,6264.0,21.2,75.0,9.13892772704
2017-08-13,22.0,50,2857.14285714,24.2857142857,35.0,9.03507902905
2016-11-10,3.0,4,146167.871039,28.3301834352,1799.0,9.01385108692
2015-12-23,1.0,3,130091.32371,6.85196560197,1628.0,8.93916525732
2017-07-20,22.0,20,23688.8128079,20.3251231527,304.5,8.82019119793
2017-08-02,22.0,82,1993.84615385,18.0769230769,26.0,8.75707659739
2017-07-12,8.0,21,1215.0,18.75,16.0,8.71421252897
2017-06-14,8.0,77,1500.0,105.0,20.0,8.66025403784
2017-07-25,15.0,37,56076.4010283,9.08483290488,778.0,8.48985490354
2017-07-29,22.0,2,22306.7239264,22.6441717791,326.0,8.27197277054
2016-10-09,7.0,2,12004.5431755,14.1169916435,179.5,8.17787734427
2017-08-13,22.0,82,14323.0232558,19.4418604651,215.0,8.16202871949
2017-07-25,3.0,50,8064.19354839,19.5806451613,124.0,8.0643548371
2016-11-11,3.0,4,224727.051526,16.1609096143,3474.0,8.04290186717
2017-08-12,22.0,41,698.181818182,12.2727272727,11.0,7.96687356371
2017-08-04,22.0,82,9491.36842105,19.6315789474,152.0,7.90210182777
2017-08-04,22.0,2,16229.8927203,17.1762452107,261.0,7.88565133725
2016-10-29,3.0,4,124431.581108,30.6473788328,2022.0,7.84467099758
2017-08-09,22.0,82,10523.8660969,18.8774928775,175.5,7.74371028545
2016-09-23,3.0,4,17365.1877133,33.6177474403,293.0,7.69849675351
2017-08-10,7.0,14,2873.26530612,25.1224489796,49.0,7.65754970417
2016-11-05,3.0,4,131899.998225,37.9991126886,2254.0,7.64971823647
2017-08-10,22.0,2,31711.346789,16.2862385321,545.0,7.6279720379
2017-07-15,60.0,44,9928.42105263,11.2105263158,171.0,7.61977308246
2017-07-24,22.0,9,15465.8845438,20.9013035382,268.5,7.58953620146
2017-08-02,22.0,2,13330.4377682,16.1545064378,233.0,7.56387329765
2016-07-26,7.0,2,2444.87356322,17.5057471264,43.5,7.49693203644
2017-07-05,9.0,21,476.470588235,32.0588235294,8.5,7.48701297727
2017-07-03,9.0,21,250.0,33.3333333333,4.5,7.453559925
2017-08-03,22.0,2,16001.2965517,19.9034482759,290.0,7.4281144755
2017-08-17,8.0,17,105701.608129,25.719124544,1919.0,7.42169854136
2017-07-25,60.0,22,14467.3707865,21.8202247191,267.0,7.36103996136
2017-08-06,22.0,2,7586.44137931,19.0620689655,145.0,7.23327625454
2016-10-23,3.0,6,9204.49438202,23.5056179775,178.0,7.19101123596
2017-07-12,3.0,5,1173.91304348,34.7826086957,23.0,7.14420727181
2017-08-15,22.0,82,9082.7247191,28.9606741573,178.0,7.14328659412
2017-07-31,22.0,2,15268.4440735,23.3322203673,299.5,7.14001259649
2017-07-07,63.0,20,21344.2042755,8.73396674584,421.0,7.12031056255
2017-08-05,22.0,2,20645.3251834,19.8239608802,409.0,7.10475669432
2017-04-09,1.0,17,25189.7199211,22.932938856,507.0,7.04867829611
2017-04-14,22.0,22,6561.21481481,27.562962963,135.0,6.97148414764
2017-08-17,22.0,82,22929.8305085,17.9322033898,472.0,6.96994615348
2016-10-29,1.0,4,65820.6819188,20.1520295203,1355.0,6.96965917514
2017-06-23,22.0,82,435.555555556,12.2222222222,9.0,6.95665593
2016-06-11,3.0,9,14174.8805461,9.21160409556,293.0,6.95546058129
2017-08-08,22.0,2,21012.8424658,15.3767123288,438.0,6.92636457151
2017-08-07,8.0,1,17628.2473118,11.747311828,372.0,6.88387693026
2017-01-22,4.0,67,3857.14285714,15.7142857143,84.0,6.77630927179
2017-08-10,1.0,17,37416.8106152,23.7515078408,829.0,6.71824933174
2017-08-17,22.0,2,4244.625,15.1875,96.0,6.64942431719
2016-07-29,8.0,39,40953.6731183,27.2279569892,930.0,6.63597827408
2016-10-25,3.0,4,89805.1361868,33.5486381323,2056.0,6.6090499277
2017-06-25,8.0,21,7813.75,26.0833333333,180.0,6.58860548388
2017-07-18,63.0,5,845.0,48.5,20.0,6.5
2016-08-02,1.0,2,3037.5,21.25,72.0,6.49519052838
2017-07-23,22.0,2,15262.718232,17.6022099448,362.0,6.4932430311
2017-06-21,3.0,6,6780.99378882,13.8633540373,161.0,6.48983619544
2016-10-05,7.0,2,7492.71910112,20.202247191,178.0,6.48798331798
2017-08-19,22.0,82,20736.7741935,19.9193548387,496.0,6.46591157433
2017-04-09,22.0,1,2023.22680412,21.7835051546,48.5,6.45879374031
2017-07-17,63.0,17,8491.63902439,7.89268292683,205.0,6.43604143766
2017-04-02,4.0,70,4312.3923445,7.58373205742,104.5,6.42393278199
2017-08-18,9.0,18,2052.0,26.4,50.0,6.40624695122
2017-08-05,7.0,17,34520.9812207,23.5046948357,852.0,6.36534237825
2017-07-12,15.0,38,60467.0645722,14.739171123,1496.0,6.35760653157
2016-09-12,1.0,4,8668.37209302,23.7674418605,215.0,6.34964642598
2017-07-23,3.0,2,86688.0328704,18.7837962963,2160.0,6.33508867745
2016-10-22,3.0,4,20475.9692308,29.6076923077,520.0,6.27509871678
2017-07-16,3.0,6,14959.6710526,18.1184210526,380.0,6.27435697117
2017-06-16,22.0,82,6680.16911765,14.5441176471,170.0,6.26858137514
2017-07-20,8.0,17,72832.8626817,24.9660743134,1857.0,6.2626441914
2017-07-11,22.0,18,1720.72727273,18.2727272727,44.0,6.25359400797
2017-06-30,9.0,21,175.0,31.6666666667,4.5,6.23609564462
2017-08-11,22.0,2,26073.2244594,17.5712155108,670.5,6.2358833219
2017-07-28,22.0,2,11380.8979592,16.9387755102,294.0,6.22177926932
2017-04-29,9.0,6,8625.78125,25.46875,224.0,6.20547758105
2016-08-26,4.0,53,4412.71551724,61.7672413793,116.0,6.16771035399
2017-07-19,63.0,17,20396.8592593,14.362962963,540.0,6.14588981281
2016-11-05,1.0,4,48982.4675325,21.2337662338,1309.0,6.11716938567
2017-08-19,22.0,2,21451.7421603,17.06271777,574.0,6.11329478281
2017-06-27,22.0,48,2475.61940299,10.4029850746,67.0,6.07861360247
2017-05-07,3.0,9,56673.6046512,6.07364341085,1548.0,6.05069051578
2017-08-02,3.0,17,42634.2918455,20.678111588,1165.0,6.0494593697
2017-06-22,22.0,82,1935.16981132,15.6981132075,53.0,6.04256882041
2017-08-12,22.0,2,15753.9166667,15.3194444444,432.0,6.03882436335
2016-10-21,1.0,4,5756.4,13.85,160.0,5.99812470694
2017-06-07,12.0,4,6331.63636364,22.4545454545,176.0,5.99793352844
2017-07-24,7.0,82,2688.0,14.4,75.0,5.98665181884
2016-10-18,1.0,4,11954.3283582,16.9552238806,335.0,5.97365568671
2016-11-03,1.0,2,22957.8680124,12.8276397516,644.0,5.97066691194
2017-05-07,22.0,2,11299.0407524,11.7147335423,319.0,5.95148640646
2017-07-30,63.0,2,13297.3228346,12.6614173228,381.0,5.90771612404
2016-11-04,1.0,2,20463.9932031,14.9966015293,588.5,5.89687548893
2017-07-20,20.0,82,20691.9197324,14.2775919732,598.0,5.88233562986
2017-08-01,9.0,18,482.857142857,18.7142857143,14.0,5.87280136888
2016-09-06,3.0,5,16755.9085366,24.5792682927,492.0,5.83581396789
2017-06-18,22.0,82,5209.55700326,17.7654723127,153.5,5.82567439065
2016-11-01,1.0,4,56479.6038186,17.9212410501,1676.0,5.80508808068
2017-04-28,3.0,17,105566.836735,19.4260204082,3136.0,5.80197331663
2017-07-20,4.0,1,6160.04336043,13.8970189702,184.5,5.77821502639
2016-08-07,3.0,6,6115.39784946,22.2150537634,186.0,5.73397619995
2017-08-14,22.0,82,7533.65517241,24.3103448276,232.0,5.69847800779
2016-08-12,3.0,2,7485.50649351,10.1038961039,231.0,5.6925205327
2017-06-13,22.0,82,7996.22177419,11.1653225806,248.0,5.67827700404
2017-07-21,3.0,6,8110.78431373,24.6078431373,255.0,5.63976926024
2017-06-07,12.0,38,17788.3928571,5.94642857143,560.0,5.63604358082
2017-06-09,22.0,43,2114.41791045,9.68656716418,67.0,5.61769314535
2017-07-12,15.0,37,20800.1812048,14.2144578313,664.0,5.59692541523
2017-07-11,9.0,17,12104.7137453,11.6620428752,396.5,5.52529748939
2017-08-10,3.0,17,53276.3342825,24.2830296128,1756.0,5.50813926029
2016-10-27,3.0,4,44333.4352861,26.8358310627,1468.0,5.4954424569
2017-07-26,63.0,5,694.434782609,59.2608695652,23.0,5.49479905321
2016-09-29,3.0,4,51386.9428238,23.1656942824,1714.0,5.47546467734
