Date,Market Real,Crop,Deviation
6/5/2017,30,32,49.49747468
10/29/2016,3,40,44.90986343
3/11/2017,27,23,43.30127019
8/1/2017,56,6,29.25666387
6/17/2017,8,17,27.36611795
11/29/2016,12,4,24.75
6/8/2017,8,21,22.63109955
12/23/2015,1,3,20.1246118
4/29/2017,22,1,17.03917056
3/16/2017,1,17,15.58845727
8/9/2017,22,2,14.67424047
7/7/2017,63,20,14.50172404
8/12/2017,9,18,14.14213562
5/29/2017,30,32,14.14213562
6/14/2017,8,77,14.14213562
6/11/2017,8,77,14.14213562
8/16/2017,22,16,14.14213562
7/25/2017,22,41,14.14213562
7/23/2016,1,2,14.14213562
8/13/2017,22,50,14.14213562
5/9/2017,22,22,13.78933767
8/10/2017,7,14,13.43502884
8/7/2017,8,16,13.10216267
8/2/2017,22,82,12.72792206
7/15/2017,60,44,12.72792206
7/12/2017,8,21,12.72792206
4/4/2017,3,17,12.20314167
9/18/2016,8,5,12.14397754
7/29/2017,22,2,12.02358793
7/26/2016,7,2,12.02081528
7/8/2017,3,9,11.59022577
9/23/2016,3,4,11.54700538
10/23/2016,3,6,11.3137085
8/12/2017,22,41,11.3137085
10/11/2016,3,4,11.12005196
10/9/2016,7,4,10.87198234
7/20/2017,22,20,10.74256849
10/22/2016,3,4,10.69267662
6/2/2017,22,46,10.61602562
7/3/2017,9,21,10.60660172
8/26/2016,4,53,10.60660172
9/22/2016,1,2,10.60660172
1/22/2017,4,67,10.60660172
7/5/2017,9,21,10.60660172
6/30/2017,9,21,10.60660172
7/12/2017,3,5,10.60660172
8/2/2016,1,2,10.60660172
8/18/2017,9,18,10.60660172
10/19/2016,3,4,10.60017153
6/9/2017,12,4,10.25304833
4/9/2017,22,1,10.21436896
8/13/2017,22,82,9.949874371
9/22/2016,1,16,9.899494937
6/23/2017,22,82,9.899494937
7/29/2016,8,39,9.899494937
8/17/2017,22,2,9.899494937
6/11/2016,3,9,9.899494937
10/9/2016,7,2,9.894683517
7/25/2017,15,37,9.814954576
7/25/2017,3,50,9.712534856
8/6/2017,22,2,9.710818709
8/5/2017,22,2,9.360080721
8/4/2017,22,82,9.311283478
8/4/2017,22,2,9.226321044
7/18/2017,63,5,9.192388155
11/8/2016,3,6,9.192388155
7/11/2017,22,18,9.192388155
7/28/2016,1,43,9.192388155
11/5/2016,3,4,9.192388155
8/1/2017,9,18,9.192388155
8/3/2017,22,2,9.176834188
7/30/2017,63,2,9.146948489
8/15/2017,22,82,9.049861877
8/7/2016,3,6,8.98146239
7/17/2017,63,17,8.96288644
4/2/2017,4,70,8.96288644
11/10/2016,3,4,8.94427191
11/11/2016,3,4,8.728820521
7/31/2017,22,2,8.668497975
6/25/2017,8,21,8.660254038
8/7/2017,8,1,8.618916074
8/2/2017,22,2,8.618916074
6/24/2017,22,82,8.504900548
7/16/2017,22,9,8.485281374
10/21/2016,1,4,8.485281374
7/24/2017,7,82,8.485281374
8/12/2016,3,2,8.485281374
9/6/2016,3,5,8.455767263
8/10/2017,22,2,8.423214912
10/18/2016,1,4,8.421203398
8/1/2017,22,2,8.406346809
8/9/2017,22,82,8.403514004
7/20/2017,8,17,8.344698133
10/26/2016,1,4,8.326663998
7/23/2017,22,2,8.270429251
10/7/2016,4,17,8.262187136
8/11/2017,22,2,8.204126541
