Date,Aggregator,Market Real,Crop,Quantity Real,Price,Amount,State
2016-03-13,2287.0,1.0,10,74.0,9.0,666.0,1.0
2016-03-26,2287.0,1.0,2,75.0,2.0,150.0,1.0
2016-03-26,2287.0,1.0,2,6.0,3.0,18.0,1.0
2016-06-25,2287.0,1.0,1,5.0,10.0,50.0,1.0
2015-11-29,2287.0,1.0,2,160.0,6.0,960.0,1.0
2015-11-29,2287.0,1.0,10,30.0,30.0,900.0,1.0
2015-12-05,2287.0,1.0,10,20.0,30.0,600.0,1.0
2015-12-05,2287.0,1.0,2,75.0,5.0,375.0,1.0
2015-12-12,2287.0,1.0,2,68.0,6.0,408.0,1.0
2015-12-20,2287.0,1.0,51,10.0,7.0,70.0,1.0
2015-12-20,2287.0,1.0,19,15.0,20.0,300.0,1.0
2015-12-27,2287.0,1.0,2,37.0,10.0,370.0,1.0
2015-12-29,2287.0,1.0,5,11.0,14.0,154.0,1.0
2016-01-03,2287.0,1.0,2,39.0,11.0,429.0,1.0
2016-01-10,2287.0,1.0,10,11.0,17.0,187.0,1.0
2016-01-10,2287.0,1.0,2,68.0,6.0,408.0,1.0
2016-01-18,2287.0,1.0,2,103.0,4.0,412.0,1.0
2016-01-28,2287.0,2.0,2,87.0,2.0,174.0,1.0
2016-01-28,2287.0,2.0,10,24.0,9.0,216.0,1.0
2016-10-19,2287.0,1.0,14,29.0,10.0,290.0,1.0
2016-12-10,2286.0,3.0,4,35.0,12.0,420.0,1.0
2016-12-05,2286.0,1.0,4,46.0,5.0,230.0,1.0
2016-12-05,2286.0,1.0,4,15.0,4.0,60.0,1.0
2017-02-24,2287.0,1.0,31,17.0,9.0,153.0,1.0
2017-05-01,2287.0,1.0,9,32.0,4.0,128.0,1.0
2017-05-02,2287.0,1.0,9,55.0,2.0,110.0,1.0
2017-05-03,2287.0,1.0,9,60.0,1.5,90.0,1.0
2017-05-04,2287.0,1.0,9,45.0,2.0,90.0,1.0
2017-05-24,3775.0,15.0,4,3.0,13.0,39.0,1.0
2017-07-19,3775.0,15.0,5,50.0,10.0,500.0,1.0
2017-08-13,3775.0,15.0,3,500.0,10.0,5000.0,1.0
2016-03-27,2287.0,1.0,2,42.0,2.0,84.0,1.0
2016-01-18,2286.0,3.0,3,356.0,1.5,534.0,1.0
2015-12-05,2287.0,1.0,2,130.0,5.0,650.0,1.0
2016-11-19,2287.0,1.0,2,170.0,4.0,680.0,1.0
2016-12-11,2287.0,1.0,2,80.0,2.0,160.0,1.0
2017-05-23,3775.0,15.0,4,30.0,30.0,900.0,1.0
2017-05-23,3775.0,12.0,6,80.0,2.0,160.0,1.0
2017-07-19,3775.0,15.0,6,30.0,5.0,150.0,1.0
2016-02-04,2287.0,1.0,2,34.0,4.0,136.0,1.0
2016-02-18,2287.0,1.0,2,57.0,3.25,185.25,1.0
2016-02-26,2287.0,1.0,2,38.0,4.0,152.0,1.0
2016-03-11,2287.0,1.0,2,45.0,4.0,180.0,1.0
2016-03-21,2287.0,1.0,2,43.0,4.0,172.0,1.0
2016-03-21,2287.0,1.0,2,41.0,3.0,123.0,1.0
2016-03-31,2287.0,1.0,2,23.0,3.0,69.0,1.0
2015-11-27,2287.0,1.0,4,53.0,13.0,689.0,1.0
2015-12-31,2287.0,1.0,2,27.0,12.0,324.0,1.0
2016-01-10,2287.0,1.0,2,60.0,6.0,360.0,1.0
2016-01-24,2287.0,2.0,2,35.0,5.0,175.0,1.0
2016-11-08,2287.0,1.0,2,230.0,12.0,2760.0,1.0
2016-11-16,2287.0,1.0,2,90.0,4.0,360.0,1.0
2016-11-23,2287.0,1.0,2,150.0,4.0,600.0,1.0
2016-11-18,2287.0,1.0,2,237.0,3.0,711.0,1.0
2016-12-03,2287.0,1.0,4,50.0,3.5,175.0,1.0
2016-12-06,2287.0,1.0,2,200.0,2.0,400.0,1.0
2016-12-11,2287.0,1.0,2,186.0,2.0,372.0,1.0
2017-07-02,3775.0,15.0,1,12.0,5.0,60.0,1.0
2016-04-06,2287.0,1.0,19,10.0,8.0,80.0,1.0
2016-04-26,2287.0,1.0,18,8.0,14.0,112.0,1.0
2016-05-14,2287.0,1.0,1,63.0,10.0,630.0,1.0
2016-05-15,2287.0,1.0,27,34.0,70.0,2380.0,1.0
2016-06-03,2287.0,1.0,1,30.0,6.0,180.0,1.0
2016-06-09,2287.0,1.0,20,21.0,3.0,63.0,1.0
2016-06-09,2287.0,1.0,1,8.0,3.0,24.0,1.0
2016-07-06,2287.0,1.0,16,80.0,10.0,800.0,1.0
2016-07-28,2287.0,1.0,18,5.0,22.0,110.0,1.0
2016-07-30,2287.0,1.0,16,99.0,22.0,2178.0,1.0
2016-08-31,2287.0,1.0,5,25.0,24.0,600.0,1.0
2016-09-16,2287.0,1.0,16,8.0,20.0,160.0,1.0
2016-10-03,2287.0,1.0,5,45.0,20.0,900.0,1.0
2016-10-10,2287.0,1.0,5,35.0,18.0,630.0,1.0
2016-10-13,2287.0,1.0,6,25.0,15.0,375.0,1.0
2016-10-21,2287.0,1.0,5,55.0,23.0,1265.0,1.0
2016-10-24,2287.0,1.0,5,65.0,26.0,1690.0,1.0
2016-11-01,2287.0,1.0,5,55.0,38.0,2090.0,1.0
2016-11-06,2287.0,1.0,2,120.0,10.0,1200.0,1.0
2016-11-09,2287.0,1.0,6,17.0,15.5,263.5,1.0
2016-12-13,2287.0,3.0,3,319.0,6.0,1914.0,1.0
2017-03-23,2287.0,1.0,2,50.0,1.0,50.0,1.0
2017-04-03,2287.0,1.0,2,230.0,1.0,230.0,1.0
2017-04-11,2287.0,1.0,18,9.0,14.0,126.0,1.0
2017-05-04,2287.0,1.0,18,7.0,16.0,112.0,1.0
2017-05-22,3775.0,15.0,5,80.0,15.0,1200.0,1.0
2017-07-27,3775.0,15.0,3,100.0,3.0,300.0,1.0
2017-05-02,3775.0,3.0,5,25.0,15.0,375.0,1.0
2017-05-16,3775.0,3.0,3,123.0,3.0,369.0,1.0
2017-07-14,3775.0,15.0,5,50.0,50.0,2500.0,1.0
2017-07-19,3775.0,15.0,5,50.0,8.0,400.0,1.0
2015-12-27,2287.0,1.0,7,470.0,11.0,5170.0,1.0
2016-11-04,2287.0,1.0,2,150.0,13.0,1950.0,1.0
2017-07-19,3775.0,15.0,54,45.0,6.0,270.0,1.0
2016-01-25,2287.0,1.0,4,12.0,5.0,60.0,1.0
2016-01-25,2287.0,1.0,6,20.0,1.0,20.0,1.0
2016-01-25,2287.0,1.0,7,25.0,10.0,250.0,1.0
2016-02-04,2287.0,1.0,2,185.0,3.0,555.0,1.0
2016-02-05,2287.0,1.0,2,50.0,3.0,150.0,1.0
2016-02-08,2287.0,1.0,9,16.0,3.0,48.0,1.0
2016-02-10,2287.0,1.0,2,37.0,2.0,74.0,1.0
2016-02-10,2287.0,1.0,2,14.0,1.5,21.0,1.0
2016-02-10,2287.0,1.0,2,45.0,3.0,135.0,1.0
2016-02-25,2287.0,1.0,2,208.0,3.0,624.0,1.0
2016-03-01,2286.0,6.0,2,291.0,2.5,727.5,1.0
2016-03-07,2286.0,1.0,2,112.0,3.0,336.0,1.0
2016-03-09,2287.0,1.0,2,110.0,3.0,330.0,1.0
2016-03-11,2287.0,1.0,2,40.0,2.0,80.0,1.0
2016-03-29,2287.0,1.0,2,75.0,2.0,150.0,1.0
2016-03-31,2287.0,1.0,2,60.0,1.0,60.0,1.0
2016-03-31,2287.0,1.0,2,65.0,2.0,130.0,1.0
2015-12-29,2287.0,1.0,2,17.0,11.0,187.0,1.0
