,Date,Aggregator,Market_Real,Crop,Quantity_Real,Price,Amount,State,Av_Rate,Total_Quantity,Deviation,Max_Deviation,STD,Max D /STD,D/Av,D/STD,Deviation_Factor,STD/Av,Flag,Compute
0,12/10/2016,2286,3,4,35,12,420,1,13.64040907,3618,1.640409066,1.640409066,0.598314427,,0.120260988,2.741717385,0.329721641,0.043863379,1,1
1,1/18/2016,2286,3,3,356,1.5,534,1,2.082409972,5054,0.582409972,1.917590028,0.955108963,,0.279680745,0.609783799,0.170544787,0.458655585,1,1
2,12/13/2016,2287,3,3,319,6,1914,1,7.262981575,3582,1.262981575,1.262981575,0.662206891,,0.173892989,1.907231096,0.331654116,0.091175626,1,1
3,5/2/2017,3775,3,5,25,15,375,1,15,25,0,0,0,,0,,,0,1,1
4,5/16/2017,3775,3,3,123,3,369,1,3,123,0,0,0,,0,,,0,1,1
5,12/20/2015,2287,3,3,540,4.5,2430,1,4.59905945,5635,0.09905945,2.09905945,0.624086913,,0.021539067,0.15872701,0.003418832,0.135698814,1,1
6,1/16/2016,2287,3,3,600,2,1200,1,2,3705,0,0,0,,0,,,0,1,1
7,12/18/2016,2287,3,62,800,7,5600,1,7,853,0,0,0,,0,,,0,1,1
8,12/18/2016,2287,3,62,53,7,371,1,7,853,0,0,0,,0,,,0,1,1
9,1/10/2017,2287,3,3,55,2,110,1,2.373852733,4794,0.373852733,2.626147267,0.905863247,,0.157487753,0.412703279,0.064995712,0.38160044,1,1
10,1/22/2017,2287,3,2,97,6,582,1,7.532976827,561,1.532976827,1.532976827,1.432771474,,0.20350213,1.069938127,0.217734687,0.190199905,1,1
11,2/21/2016,2286,3,2,110,2.25,247.5,1,2.428703704,810,0.178703704,0.178703704,0.112875649,,0.07357987,1.583190925,0.116490983,0.046475677,1,1
12,12/19/2015,2287,3,3,725,4,2900,1,4.31754682,5927,0.31754682,0.68245318,0.251143876,,0.073547974,1.264402004,0.092994205,0.058168188,1,1
13,5/21/2017,3775,3,2,12,12,144,1,12,12,0,0,0,,0,,,0,1,1
